L,H,alpha,temperature,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
20,15,0.0,2,2,127.7587,30.0087,120.2934,7.465299999999999,5.8
20,15,0.0,2,1,118.6667,30.0312,129.0642,-10.397499999999994,-8.8
20,15,0.0,2,0,136.1389,30.0278,120.2726,15.86630000000001,11.7
20,15,0.0,4,0,136.1389,30.0278,110.5747,25.5642,18.8
20,15,0.0,4,2,127.7587,30.0087,120.2934,7.465299999999999,5.8
20,15,0.0,4,1,118.6667,30.0312,137.7083,-19.041600000000003,-16.0
20,15,0.0,6,0,136.1389,30.0278,99.7812,36.35770000000001,26.7
20,15,0.0,6,1,118.6667,30.0312,129.7344,-11.067699999999988,-9.3
20,15,0.0,6,2,127.7587,30.0087,120.2795,7.479200000000006,5.9
20,15,0.0,8,0,136.1389,30.0278,88.0104,48.1285,35.4
20,15,0.0,8,1,118.6667,30.0312,120.092,-1.425299999999993,-1.2
20,15,0.0,8,2,127.7587,30.0087,120.2899,7.468800000000002,5.8
20,15,0.0,10,0,136.1389,30.0278,89.0503,47.088600000000014,34.6
20,15,0.0,10,1,118.6667,30.0312,108.8194,9.847300000000004,8.3
20,15,0.0,10,2,127.7587,30.0087,110.283,17.475700000000003,13.7
20,15,0.0,12,0,136.1389,30.0278,90.0174,46.12150000000001,33.9
20,15,0.0,12,1,118.6667,30.0312,120.1215,-1.4547999999999917,-1.2
20,15,0.0,12,2,127.7587,30.0087,110.4688,17.289900000000003,13.5
20,15,0.1,2,0,136.1389,30.0278,110.4601,25.67880000000001,18.9
20,15,0.1,2,1,118.6667,30.0312,119.3715,-0.7047999999999917,-0.6
20,15,0.1,2,2,127.7587,30.0087,120.2691,7.48960000000001,5.9
20,15,0.1,4,0,136.1389,30.0278,110.4253,25.713600000000014,18.9
20,15,0.1,4,1,118.6667,30.0312,119.309,-0.6422999999999917,-0.5
20,15,0.1,4,2,127.7587,30.0087,120.2778,7.480900000000005,5.9
20,15,0.1,6,0,136.1389,30.0278,100.4722,35.666700000000006,26.2
20,15,0.1,6,1,118.6667,30.0312,119.0017,-0.33499999999999375,-0.3
20,15,0.1,6,2,127.7587,30.0087,120.2483,7.510400000000004,5.9
20,15,0.1,8,0,136.1389,30.0278,87.4462,48.6927,35.8
20,15,0.1,8,1,118.6667,30.0312,119.9566,-1.2898999999999887,-1.1
20,15,0.1,8,2,127.7587,30.0087,110.2153,17.543400000000005,13.7
20,15,0.1,10,0,136.1389,30.0278,87.6962,48.4427,35.6
20,15,0.1,10,1,118.6667,30.0312,108.8021,9.86460000000001,8.3
20,15,0.1,10,2,127.7587,30.0087,110.1927,17.566000000000003,13.7
20,15,0.1,12,0,136.1389,30.0278,87.6788,48.46010000000001,35.6
20,15,0.1,12,2,127.7587,30.0087,98.7899,28.9688,22.7
20,15,0.1,12,1,118.6667,30.0312,108.809,9.857700000000008,8.3
20,15,0.3,2,0,136.1389,30.0278,119.8628,16.276100000000014,12.0
20,15,0.3,2,2,127.7587,30.0087,119.6337,8.125,6.4
20,15,0.3,2,1,118.6667,30.0312,118.724,-0.05729999999999791,-0.0
20,15,0.3,4,0,136.1389,30.0278,110.2743,25.86460000000001,19.0
20,15,0.3,4,1,118.6667,30.0312,118.8889,-0.22220000000000084,-0.2
20,15,0.3,4,2,127.7587,30.0087,120.0868,7.671900000000008,6.0
20,15,0.3,6,0,136.1389,30.0278,99.2656,36.8733,27.1
20,15,0.3,6,2,127.7587,30.0087,110.0347,17.724000000000004,13.9
20,15,0.3,6,1,118.6667,30.0312,107.9878,10.678900000000013,9.0
20,15,0.3,8,0,136.1389,30.0278,99.6267,36.51220000000001,26.8
20,15,0.3,8,1,118.6667,30.0312,119.1667,-0.5,-0.4
20,15,0.3,8,2,127.7587,30.0087,110.0417,17.717,13.9
20,15,0.3,10,0,136.1389,30.0278,99.5017,36.63720000000001,26.9
20,15,0.3,10,1,118.6667,30.0312,119.1719,-0.5051999999999879,-0.4
20,15,0.3,10,2,127.7587,30.0087,110.0469,17.71180000000001,13.9
20,15,0.3,12,0,136.1389,30.0278,98.8351,37.30380000000001,27.4
20,15,0.3,12,1,118.6667,30.0312,107.9062,10.760500000000008,9.1
20,15,0.3,12,2,127.7587,30.0087,110.0486,17.71010000000001,13.9
20,15,0.5,2,0,136.1389,30.0278,118.5729,17.566000000000003,12.9
20,15,0.5,2,1,118.6667,30.0312,118.7188,-0.052099999999995816,-0.0
20,15,0.5,2,2,127.7587,30.0087,119.559,8.199700000000007,6.4
20,15,0.5,4,0,136.1389,30.0278,109.5573,26.58160000000001,19.5
20,15,0.5,4,1,118.6667,30.0312,107.9896,10.67710000000001,9.0
20,15,0.5,4,2,127.7587,30.0087,119.842,7.916700000000006,6.2
20,15,0.5,6,0,136.1389,30.0278,110.2361,25.902800000000013,19.0
20,15,0.5,6,1,118.6667,30.0312,108.0625,10.604200000000006,8.9
20,15,0.5,6,2,127.7587,30.0087,109.7951,17.9636,14.1
20,15,0.5,8,0,136.1389,30.0278,110.2378,25.901100000000014,19.0
20,15,0.5,8,1,118.6667,30.0312,108.0625,10.604200000000006,8.9
20,15,0.5,8,2,127.7587,30.0087,109.7951,17.9636,14.1
20,15,0.5,10,0,136.1389,30.0278,109.9774,26.161500000000004,19.2
20,15,0.5,10,1,118.6667,30.0312,108.0885,10.57820000000001,8.9
20,15,0.5,10,2,127.7587,30.0087,109.7917,17.967,14.1
20,15,0.5,12,0,136.1389,30.0278,108.2309,27.908,20.5
20,15,0.5,12,1,118.6667,30.0312,108.0938,10.572900000000004,8.9
20,15,0.5,12,2,127.7587,30.0087,109.7951,17.9636,14.1
20,15,0.7,2,0,136.1389,30.0278,118.6111,17.527800000000013,12.9
20,15,0.7,2,1,118.6667,30.0312,118.6024,0.06430000000000291,0.1
20,15,0.7,2,2,127.7587,30.0087,119.3194,8.439300000000003,6.6
20,15,0.7,4,0,136.1389,30.0278,108.0903,28.048600000000008,20.6
20,15,0.7,4,1,118.6667,30.0312,108.0417,10.625,9.0
20,15,0.7,4,2,127.7587,30.0087,119.9097,7.849000000000004,6.1
20,15,0.7,6,0,136.1389,30.0278,108.0955,28.043400000000005,20.6
20,15,0.7,6,1,118.6667,30.0312,108.0382,10.628500000000003,9.0
20,15,0.7,6,2,127.7587,30.0087,119.9045,7.854200000000006,6.1
20,15,0.7,8,0,136.1389,30.0278,108.0955,28.043400000000005,20.6
20,15,0.7,8,1,118.6667,30.0312,107.967,10.699700000000007,9.0
20,15,0.7,8,2,127.7587,30.0087,119.9028,7.855900000000005,6.1
20,15,0.7,10,0,136.1389,30.0278,108.099,28.039900000000003,20.6
20,15,0.7,10,1,118.6667,30.0312,107.9618,10.70490000000001,9.0
20,15,0.7,10,2,127.7587,30.0087,119.908,7.850700000000003,6.1
20,15,0.7,12,0,136.1389,30.0278,108.0938,28.045100000000005,20.6
20,15,0.7,12,1,118.6667,30.0312,107.9566,10.710100000000011,9.0
20,15,0.7,12,2,127.7587,30.0087,119.9045,7.854200000000006,6.1
20,15,0.9,2,0,136.1389,30.0278,135.9861,0.15280000000001337,0.1
20,15,0.9,2,1,118.6667,30.0312,118.4497,0.21699999999999875,0.2
20,15,0.9,2,2,127.7587,30.0087,118.9931,8.765600000000006,6.9
20,15,0.9,4,0,136.1389,30.0278,136.0122,0.1266999999999996,0.1
20,15,0.9,4,1,118.6667,30.0312,118.4705,0.1962000000000046,0.2
20,15,0.9,4,2,127.7587,30.0087,119.3108,8.447900000000004,6.6
20,15,0.9,6,1,118.6667,30.0312,118.4583,0.2084000000000117,0.2
20,15,0.9,6,2,127.7587,30.0087,119.316,8.442700000000002,6.6
20,15,0.9,6,0,136.1389,30.0278,136.1892,-0.050299999999992906,-0.0
20,15,0.9,8,0,136.1389,30.0278,136.1823,-0.04339999999999122,-0.0
20,15,0.9,8,2,127.7587,30.0087,119.3212,8.4375,6.6
20,15,0.9,8,1,118.6667,30.0312,118.4306,0.23610000000000753,0.2
20,15,0.9,10,0,136.1389,30.0278,136.1823,-0.04339999999999122,-0.0
20,15,0.9,10,1,118.6667,30.0312,118.375,0.29170000000000584,0.2
20,15,0.9,10,2,127.7587,30.0087,119.3212,8.4375,6.6
20,15,0.9,12,0,136.1389,30.0278,136.1823,-0.04339999999999122,-0.0
20,15,0.9,12,1,118.6667,30.0312,118.375,0.29170000000000584,0.2
20,15,0.9,12,2,127.7587,30.0087,119.3212,8.4375,6.6
