mode,L,H,alpha,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
regression,20,15,0.0,1,0.019125,0.010776,0.019661,-0.0005360000000000018,-2.8
regression,20,15,0.0,0,0.016699,0.011051,0.02039,-0.003691,-22.1
regression,20,15,0.0,2,0.016991,0.010784,0.016878,0.00011299999999999852,0.7
regression,20,15,0.0,3,0.01895,0.010948,0.01943,-0.0004799999999999978,-2.5
regression,20,15,0.3,0,0.016699,0.011051,0.019789,-0.0030900000000000025,-18.5
regression,20,15,0.0,4,0.018568,0.011026,0.018413,0.00015500000000000236,0.8
regression,20,15,0.3,1,0.019125,0.010776,0.019171,-4.60000000000009e-05,-0.2
regression,20,15,0.3,3,0.01895,0.010948,0.018983,-3.299999999999831e-05,-0.2
regression,20,15,0.3,2,0.016991,0.010784,0.015919,0.001072,6.3
regression,20,15,0.3,4,0.018568,0.011026,0.017883,0.0006850000000000016,3.7
regression,20,15,0.5,1,0.019125,0.010776,0.018866,0.0002589999999999988,1.4
regression,20,15,0.5,0,0.016699,0.011051,0.01955,-0.002851000000000003,-17.1
regression,20,15,0.5,2,0.016991,0.010784,0.015442,0.0015489999999999983,9.1
regression,20,15,0.5,3,0.01895,0.010948,0.018693,0.0002570000000000003,1.4
regression,20,15,0.5,4,0.018568,0.011026,0.017528,0.0010400000000000027,5.6
regression,20,15,0.7,0,0.016699,0.011051,0.019369,-0.0026700000000000022,-16.0
regression,20,15,0.7,1,0.019125,0.010776,0.018548,0.0005770000000000011,3.0
regression,20,15,0.7,2,0.016991,0.010784,0.014374,0.0026169999999999995,15.4
regression,20,15,0.7,3,0.01895,0.010948,0.018467,0.0004830000000000008,2.6
regression,20,15,0.9,0,0.016699,0.011051,0.019202,-0.0025030000000000018,-15.0
regression,20,15,0.7,4,0.018568,0.011026,0.017046,0.0015220000000000025,8.2
regression,20,15,0.9,1,0.019125,0.010776,0.018498,0.0006269999999999991,3.3
regression,20,15,0.9,2,0.016991,0.010784,0.013979,0.003011999999999999,17.7
regression,20,15,0.9,3,0.01895,0.010948,0.018254,0.0006960000000000022,3.7
regression,20,15,0.9,4,0.018568,0.011026,0.016668,0.0019000000000000024,10.2
