variant,L,H,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
A,20,15,0,136.13888888888889,30.02777777777778,108.13368055555556,28.00520833333333,20.57105692715772
A,20,15,1,118.66666666666667,30.03125,118.67013888888889,-0.0034722222222143273,-0.002926029962540163
A,20,15,2,127.75868055555556,30.008680555555557,119.41666666666667,8.342013888888886,6.5295084863226815
A,20,15,3,127.74652777777777,30.14409722222222,96.75173611111111,30.994791666666657,24.262727297436868
A,20,15,4,135.86631944444446,30.11111111111111,109.609375,26.256944444444457,19.325572777571917
B,20,15,0,136.13888888888889,30.02777777777778,108.68229166666667,27.456597222222214,20.168077943276877
B,20,15,1,118.66666666666667,30.03125,107.31423611111111,11.352430555555557,9.566654962546819
B,20,15,2,127.75868055555556,30.008680555555557,118.92013888888889,8.838541666666671,6.9181535283806035
B,20,15,3,127.74652777777777,30.14409722222222,95.99131944444444,31.75520833333333,24.857981571580005
B,20,15,4,135.86631944444446,30.11111111111111,109.29166666666667,26.574652777777786,19.55941169705721
C,20,15,0,136.13888888888889,30.02777777777778,107.67361111111111,28.46527777777777,20.90899816364007
C,20,15,1,118.66666666666667,30.03125,93.92361111111111,24.743055555555557,20.850889513108616
C,20,15,2,127.75868055555556,30.008680555555557,118.58506944444444,9.173611111111114,7.180420986832274
C,20,15,3,127.74652777777777,30.14409722222222,96.15972222222223,31.586805555555543,24.726155853333687
C,20,15,4,135.86631944444446,30.11111111111111,108.01388888888889,27.85243055555557,20.499878608211205
D,20,15,0,136.13888888888889,30.02777777777778,136.16666666666666,-0.027777777777771462,-0.020403999183835394
D,20,15,1,118.66666666666667,30.03125,136.53819444444446,-17.871527777777786,-15.060276217228472
D,20,15,2,127.75868055555556,30.008680555555557,128.00694444444446,-0.24826388888889994,-0.1943225210289668
D,20,15,3,127.74652777777777,30.14409722222222,149.55034722222223,-21.803819444444457,-17.06803294283929
D,20,15,4,135.86631944444446,30.11111111111111,129.734375,6.131944444444457,4.513218926896596
