L,H,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
15,10,2,96.1858,30.1597,149.1823,-52.9965,-55.1
15,10,0,95.9201,30.2326,96.0208,-0.10069999999998913,-0.1
15,10,1,96.3108,30.7951,96.1024,0.20839999999999748,0.2
15,10,3,95.9167,30.1042,96.0573,-0.14059999999999206,-0.1
15,12,0,109.2465,30.1007,108.1771,1.0694000000000017,1.0
15,10,4,95.9618,30.158,96.1615,-0.1997000000000071,-0.2
15,12,1,108.691,30.526,108.7066,-0.015599999999992065,-0.0
15,12,2,109.2014,30.2083,109.3594,-0.15799999999998704,-0.1
15,12,3,119.2847,30.2535,108.092,11.192700000000002,9.4
15,12,4,118.7153,30.2118,109.2569,9.458399999999997,8.0
15,15,0,128.5885,30.2413,128.0799,0.5086000000000013,0.4
15,15,1,129.7778,30.8507,137.2274,-7.449599999999975,-5.7
15,15,2,136.9184,30.2483,136.4774,0.4410000000000025,0.3
15,15,3,137.0243,30.2882,128.2569,8.76740000000001,6.4
15,15,4,137.6562,30.2604,128.6875,8.968700000000013,6.5
15,18,0,136.8802,30.2465,136.1389,0.7412999999999954,0.5
15,18,2,136.8715,30.2465,143.342,-6.4705000000000155,-4.7
15,18,1,128.8941,31.9028,154.9896,-26.095499999999987,-20.2
15,18,3,143.8976,30.3125,143.6441,0.2535000000000025,0.2
15,20,0,130.0035,30.2726,118.9826,11.020899999999997,8.5
15,18,4,143.8872,30.2465,143.2934,0.5938000000000159,0.4
15,20,1,119.908,30.6389,128.7309,-8.82289999999999,-7.4
15,20,2,144.3802,30.2465,129.1701,15.210100000000011,10.5
15,20,3,137.3854,30.6493,137.0729,0.3125,0.2
15,20,4,119.8594,30.3524,128.1198,-8.260400000000004,-6.9
18,10,1,127.8281,30.5608,118.5035,9.324600000000004,7.3
18,10,0,118.4583,29.8559,95.9444,22.513899999999992,19.0
18,10,2,118.4844,30.5833,108.0122,10.472199999999987,8.8
18,10,4,127.6892,30.599,108.0139,19.675299999999993,15.4
18,10,3,118.5,30.533,108.0851,10.414900000000003,8.8
18,12,0,128.1701,29.7865,108.3438,19.82629999999999,15.5
18,12,1,127.7726,30.5972,119.3403,8.432299999999998,6.6
18,12,2,127.8663,30.5417,118.5278,9.338499999999996,7.3
18,12,3,136.151,30.5347,109.2587,26.892300000000006,19.8
18,15,0,136.0295,29.8073,118.8906,17.138900000000007,12.6
18,12,4,136.0608,30.5816,108.092,27.9688,20.6
18,15,1,136.0642,30.5833,119.2726,16.791600000000003,12.3
18,15,3,136.1632,30.5486,108.0764,28.086799999999982,20.6
18,15,2,136.0226,30.566,127.9219,8.100700000000018,6.0
18,15,4,136.0278,30.5747,99.3507,36.67710000000001,27.0
18,18,0,128.2743,29.816,127.9826,0.29170000000000584,0.2
18,18,1,130.9896,30.6163,128.3819,2.607699999999994,2.0
18,18,2,128.1059,30.5486,128.1424,-0.03650000000001796,-0.0
18,18,3,128.0625,30.5347,109.3924,18.670100000000005,14.6
18,18,4,143.4167,30.6441,127.941,15.47569999999999,10.8
18,20,0,136.2969,29.7743,136.033,0.2639000000000067,0.2
18,20,2,136.5729,30.5556,136.0503,0.5226000000000113,0.4
18,20,1,137.7917,31.1944,136.224,1.567700000000002,1.1
18,20,3,128.2344,30.5486,118.5712,9.66319999999999,7.5
20,10,0,127.7274,30.0694,81.9288,45.79860000000001,35.9
18,20,4,145.1806,30.5608,143.434,1.7466000000000008,1.2
20,10,1,127.75,30.0347,118.441,9.308999999999997,7.3
20,10,2,135.8924,30.0,107.9167,27.975700000000003,20.6
20,10,3,127.7361,30.1597,95.8993,31.836799999999997,24.9
20,10,4,127.7378,30.4219,120.3993,7.338499999999996,5.7
20,12,0,135.8611,30.0573,81.9236,53.9375,39.7
20,12,1,127.6927,30.0278,81.8455,45.8472,35.9
20,12,2,127.6979,30.0191,107.8819,19.816000000000003,15.5
20,12,3,118.3698,30.1128,95.9045,22.4653,19.0
20,12,4,135.9028,30.1146,110.7257,25.17710000000001,18.5
20,15,0,136.1389,30.0278,109.5573,26.58160000000001,19.5
20,15,2,127.7587,30.0087,119.842,7.916700000000006,6.2
20,15,1,118.6667,30.0312,107.9896,10.67710000000001,9.0
20,15,3,127.7465,30.1441,82.3733,45.3732,35.5
20,18,0,136.401,30.0573,101.2292,35.171800000000005,25.8
20,15,4,135.8663,30.1111,109.3247,26.54159999999999,19.5
20,18,1,128.684,30.0312,137.0677,-8.383700000000005,-6.5
20,18,3,144.5087,30.2639,82.0729,62.4358,43.2
20,18,2,137.5226,30.0503,123.3767,14.145900000000012,10.3
20,18,4,144.5017,30.4427,115.8698,28.6319,19.8
20,20,1,144.4288,30.0174,131.3021,13.1267,9.1
20,20,0,136.5295,30.0677,116.0365,20.49300000000001,15.0
20,20,2,128.1441,30.0382,131.7257,-3.5815999999999804,-2.8
20,20,3,144.2622,30.2274,97.7431,46.51910000000001,32.2
20,20,4,137.5955,30.408,119.8281,17.76739999999998,12.9
22,10,0,127.6736,29.8802,95.8976,31.775999999999996,24.9
22,10,1,95.8385,29.9028,118.441,-22.602500000000006,-23.6
22,10,2,135.8524,29.8351,107.8819,27.970499999999987,20.6
22,10,3,135.8594,29.8125,81.908,53.95139999999999,39.7
22,10,4,127.6858,30.0712,81.9323,45.7535,35.8
22,12,0,135.842,30.0104,81.9618,53.880200000000016,39.7
22,12,1,118.3906,29.9132,108.0677,10.322900000000004,8.7
22,12,2,118.3715,29.8229,107.9097,10.461799999999997,8.8
22,12,3,135.9774,29.8125,83.7865,52.190899999999985,38.4
22,15,0,136.151,30.2726,118.9132,17.237800000000007,12.7
22,12,4,107.9514,30.0799,95.8715,12.07990000000001,11.2
22,15,1,127.8524,30.2882,128.0278,-0.17540000000001044,-0.1
22,15,4,118.5955,30.4531,118.6649,-0.06940000000000168,-0.1
22,15,2,136.0278,29.8177,118.6163,17.411500000000018,12.8
22,15,3,136.1806,29.8125,97.1997,38.98089999999999,28.6
22,18,0,143.8073,29.9358,96.5122,47.29509999999999,32.9
22,18,1,136.1806,29.9983,128.5312,7.649399999999986,5.6
22,18,2,136.8142,29.8351,128.0642,8.75,6.4
22,18,3,136.3993,29.8177,96.2274,40.17190000000001,29.5
22,20,0,143.7378,29.8993,117.0139,26.723899999999986,18.6
22,18,4,136.1441,30.375,136.8733,-0.7291999999999916,-0.5
22,20,1,132.6858,29.9983,126.4392,6.246600000000001,4.7
22,20,2,136.5955,29.8542,136.5781,0.017399999999980764,0.0
22,20,3,137.4184,29.8142,123.4497,13.968699999999984,10.2
22,20,4,134.0781,30.2292,131.5608,2.517300000000006,1.9
25,10,0,127.7031,30.0278,95.8889,31.8142,24.9
25,10,1,118.349,29.8438,118.4427,-0.09369999999999834,-0.1
25,10,2,118.342,29.9149,95.9115,22.430499999999995,19.0
25,10,3,118.3559,29.9688,107.9149,10.441000000000003,8.8
25,10,4,118.3628,30.0972,118.4392,-0.07640000000000668,-0.1
25,12,0,135.8854,30.0573,95.9132,39.9722,29.4
25,12,2,127.7083,29.9392,96.059,31.649299999999997,24.8
25,12,1,127.6997,29.8177,119.7882,7.911500000000004,6.2
25,12,3,128.1562,30.0035,107.9566,20.199600000000018,15.8
25,12,4,127.7031,30.0677,97.6927,30.010400000000004,23.5
25,15,0,143.3958,30.0295,95.9983,47.39750000000001,33.1
25,15,1,143.0087,29.8247,110.1701,32.8386,23.0
25,15,2,118.4097,29.9323,108.1927,10.216999999999999,8.6
25,15,3,127.8212,30.0156,102.2344,25.58680000000001,20.0
25,15,4,118.401,30.0816,115.4288,2.972200000000001,2.5
25,18,1,136.9965,29.8403,116.6267,20.369799999999998,14.9
25,18,0,144.776,30.066,118.6667,26.109300000000005,18.0
25,18,2,132.0521,30.0191,114.9583,17.0938,12.9
25,18,3,139.8854,30.0087,103.1493,36.73610000000001,26.3
25,18,4,130.3854,30.0799,112.2847,18.100700000000003,13.9
25,20,0,138.066,30.0469,118.6719,19.39410000000001,14.0
25,20,1,139.1649,29.8108,121.3542,17.810699999999983,12.8
25,20,2,136.1545,29.9549,108.8872,27.267300000000006,20.0
25,20,3,130.4219,30.0122,114.5226,15.899299999999997,12.2
25,20,4,131.1545,30.0885,124.1719,6.982600000000019,5.3
