tau,periodicity,dom_period,dom_period_s,T_min,T_max,status
5,0.9879083537383251,59,5.9,769.9904590386344,2697.0796131682696,ok
10,0.9880011172536364,59,5.9,769.9919407418672,2716.83887967574,ok
20,0.9858044974564054,59,5.9,769.992091656418,2797.233539162636,ok
30,0.97438371538194,59,5.9,769.9920946022315,2883.4017839495605,ok
40,0.9579084782167115,176,17.6,769.992142188645,2969.9432961147636,ok
50,0.9731109006514687,117,11.700000000000001,769.9926216779473,2949.0907451039016,ok
60,0.9768132932546065,59,5.9,769.9923217162375,2983.352781342945,ok
70,0.986119598847691,59,5.9,769.9920806809258,2972.675974959054,ok
80,0.9817917633629412,59,5.9,769.9920899189697,2977.0561768053767,ok
100,0.9607949908589055,117,11.700000000000001,769.9921643203855,2945.268921335048,ok
120,0.9804209999117529,59,5.9,769.9918475708444,2975.2889188354197,ok
150,0.9705315014796151,59,5.9,769.9920987359392,2915.9908440238737,ok
