tau,periodicity,dom_period,dom_period_s,T_min,T_max,status
5,0.9062396673541687,395,39.5,769.9944890412866,2848.882645681768,ok
10,nan,-1,nan,nan,nan,"fail:CanteraError:
***********************************************************"
20,0.92343965957267,172,17.2,769.9922150685637,2927.415203745858,ok
30,0.7893408509096849,226,22.6,769.9953585245256,2932.4580034140813,ok
35,0.6224150131492006,337,33.7,769.9953585245256,2757.6275532160766,ok
40,0.54621775230384,20,2.0,769.9953585245256,2917.6554852375093,ok
45,0.5535929509800577,20,2.0,769.9932125406305,2874.760042088788,ok
50,0.5570259478286682,20,2.0,769.9877815826201,2486.573047446043,ok
55,0.5513484409572083,20,2.0,769.9870363681966,2886.6405438037345,ok
60,0.5587858635003257,20,2.0,769.9884106540388,2940.903977466394,ok
65,0.5615781971244177,20,2.0,769.9892693590502,2742.051307356509,ok
70,0.8081756020520805,399,39.900000000000006,769.9897167963803,2856.3932559208047,ok
80,0.785072482909598,342,34.2,769.989269194144,2978.7804637040326,ok
100,0.48598212773922894,20,2.0,769.9896184159593,2730.679222861019,ok
120,0.5191096171383581,324,32.4,769.9894687505512,2970.540355456853,ok
150,0.4680730907162063,20,2.0,769.9889599989368,2802.1532112522086,ok
