dataset,tau,periodicity,L,H,LplusH_minus_1,seed,baseline_mse,baseline_converged_mse,teacher_mse,fgl_student_mse,A_iter_mse,E_iter_mse
tau100,100,0.48598212773922894,20,5,24,0,98.60763888888889,68.08680555555556,35.770833333333336,87.00694444444444,72.203125,68.26649305555556
tau100,100,0.48598212773922894,20,5,24,1,92.09895833333333,68.61284722222223,38.94444444444444,89.55034722222223,74.76649305555556,72.67100694444444
tau100,100,0.48598212773922894,20,5,24,2,93.33854166666667,67.91579861111111,36.471354166666664,92.76302083333333,73.52170138888889,70.09982638888889
tau100,100,0.48598212773922894,20,15,34,0,171.04774305555554,147.97482638888889,35.893229166666664,161.22569444444446,146.28038194444446,150.24565972222223
tau100,100,0.48598212773922894,20,15,34,1,173.36284722222223,150.74131944444446,41.09027777777778,160.52170138888889,145.54513888888889,142.38454861111111
tau100,100,0.48598212773922894,20,15,34,2,172.94878472222223,148.77864583333334,42.98350694444444,159.78125,145.52430555555554,141.13715277777777
tau100,100,0.48598212773922894,20,30,49,0,223.87847222222223,198.4609375,35.62586805555556,217.68489583333334,200.88194444444446,218.58333333333334
tau100,100,0.48598212773922894,20,30,49,1,220.55642361111111,204.7265625,42.540798611111114,218.4609375,203.03472222222223,215.3515625
tau100,100,0.48598212773922894,20,30,49,2,222.04774305555554,202.14409722222223,47.53038194444444,222.38194444444446,201.32465277777777,216.15711805555554
tau100,100,0.48598212773922894,50,5,54,0,67.42621527777777,61.854166666666664,19.672743055555557,66.38975694444444,62.381076388888886,62.072048611111114
tau100,100,0.48598212773922894,50,5,54,1,69.65277777777777,61.84461805555556,19.116319444444443,67.74131944444444,63.921875,62.549479166666664
tau100,100,0.48598212773922894,50,5,54,2,65.2265625,61.951388888888886,20.81597222222222,68.32986111111111,61.4765625,60.24131944444444
tau100,100,0.48598212773922894,50,15,64,0,144.44791666666666,123.47482638888889,19.16059027777778,142.62934027777777,122.13975694444444,75.63975694444444
tau100,100,0.48598212773922894,50,15,64,1,141.56857638888889,124.04079861111111,19.69965277777778,141.96527777777777,120.81510416666667,126.35416666666667
tau100,100,0.48598212773922894,50,15,64,2,144.54600694444446,124.80555555555556,20.86371527777778,142.68315972222223,119.77083333333333,74.11197916666667
tau100,100,0.48598212773922894,50,30,79,0,201.85243055555554,121.96440972222223,19.127604166666668,204.94618055555554,205.15190972222223,105.94704861111111
tau100,100,0.48598212773922894,50,30,79,1,201.25260416666666,99.18923611111111,20.664930555555557,208.6875,89.12934027777777,94.07638888888889
tau100,100,0.48598212773922894,50,30,79,2,199.83940972222223,129.50954861111111,21.020833333333332,212.85850694444446,100.99652777777777,92.78993055555556
tau100,100,0.48598212773922894,100,5,104,0,66.93402777777777,53.46961805555556,23.42534722222222,67.71701388888889,56.731770833333336,60.329861111111114
tau100,100,0.48598212773922894,100,5,104,1,65.98611111111111,52.356770833333336,26.06597222222222,67.25086805555556,61.90972222222222,62.84809027777778
tau100,100,0.48598212773922894,100,5,104,2,70.3828125,59.19444444444444,24.419270833333332,67.36805555555556,62.38194444444444,62.787326388888886
