L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
20,15,0,A_single,127.828125,108.44444444444444,15.163862065218868,0.0,0,108.500,108.444
20,15,0,E_single,127.828125,30.822916666666668,75.88721835146477,71.57722848360655,1,108.500;30.976,108.444;30.823
20,15,0,A_iter,127.828125,30.005208333333332,76.52691195045432,72.33126280737704,5,108.500;58.024;31.056;30.403;30.148;30.137,108.444;57.847;30.908;30.264;30.007;30.005
20,15,0,E_iter,127.828125,31.32638888888889,75.49335180431623,71.11296106557377,3,108.500;31.740;31.530;31.470,108.444;31.585;31.365;31.326
20,15,1,A_single,127.86979166666667,108.73611111111111,14.963409501310199,0.0,0,108.780,108.736
20,15,1,E_single,127.86979166666667,31.161458333333332,75.63032055720745,71.34212543108954,1,108.780;31.307,108.736;31.161
20,15,1,A_iter,127.86979166666667,30.203125,76.37978086432324,72.2234640439392,5,108.780;78.410;56.714;30.793;30.568;30.352,108.736;78.269;56.576;30.648;30.429;30.203
20,15,1,E_iter,127.86979166666667,30.192708333333332,76.3879271720093,72.23304381147018,2,108.780;30.342;31.290,108.736;30.193;31.120
20,15,2,A_single,118.48784722222223,97.78298611111111,17.474248706940763,0.0,0,97.882,97.783
20,15,2,E_single,118.48784722222223,30.788194444444443,74.01573649430762,68.51375104309074,1,97.882;30.938,97.783;30.788
20,15,2,A_iter,118.48784722222223,29.984375,74.69413471259652,69.33579532340252,6,97.882;59.030;30.807;30.800;30.405;30.377;30.120,97.783;58.887;30.672;30.675;30.278;30.240;29.984
20,15,2,E_iter,118.48784722222223,29.838541666666668,74.81721343902474,69.48493510643964,5,97.882;30.929;30.575;30.186;29.984;30.064,97.783;30.774;30.432;30.031;29.839;29.925
20,15,3,A_single,142.99305555555554,118.79166666666667,16.92487008887377,0.0,0,118.849,118.792
20,15,3,E_single,142.99305555555554,30.82465277777778,78.4432519061726,74.05150239681983,1,118.849;30.969,118.792;30.825
20,15,3,A_iter,142.99305555555554,30.17013888888889,78.90097615463067,74.60247866245761,4,118.849;62.229;30.585;30.325;30.332,118.792;62.085;30.434;30.170;30.175
20,15,3,E_iter,142.99305555555554,29.927083333333332,79.07095332912436,74.80708523325148,4,118.849;31.562;30.911;30.082;30.530,118.792;31.396;30.785;29.927;30.387
20,15,4,A_single,127.74305555555556,108.4375,15.112802391954336,0.0,0,108.465,108.438
20,15,4,E_single,127.74305555555556,31.35763888888889,75.45256863278065,71.08229266730707,1,108.465;31.509,108.438;31.358
20,15,4,A_iter,127.74305555555556,30.364583333333332,76.22995379179125,71.99807877041306,4,108.465;65.932;31.000;30.519;30.797,108.438;65.821;30.852;30.365;30.648
20,15,4,E_iter,127.74305555555556,31.35763888888889,75.45256863278065,71.08229266730707,2,108.465;31.505;32.043,108.438;31.358;31.884
20,15,5,A_single,127.77256944444444,119.72048611111111,6.301887305189066,0.0,0,119.785,119.720
20,15,5,E_single,127.77256944444444,36.217013888888886,71.65509463700967,69.74869125132327,1,119.785;36.377,119.720;36.217
20,15,5,A_iter,127.77256944444444,57.109375,55.30388466921205,52.29774213663191,3,119.785;57.792;57.347;57.248,119.720;57.651;57.207;57.109
20,15,5,E_iter,127.77256944444444,36.21006944444444,71.66052964115384,69.75449179947505,2,119.785;36.363;57.155,119.720;36.210;57.023
20,15,6,A_single,118.41840277777777,97.34895833333333,17.792373440455073,0.0,0,97.458,97.349
20,15,6,E_single,118.41840277777777,30.87326388888889,73.9286604407043,68.2859843418401,1,97.458;31.021,97.349;30.873
20,15,6,A_iter,118.41840277777777,29.71527777777778,74.90653726047883,69.47550514507873,5,97.458;65.722;57.528;30.429;30.137;29.852,97.349;65.608;57.384;30.283;29.993;29.715
20,15,6,E_iter,118.41840277777777,30.307291666666668,74.40660323417731,68.86736932213364,2,97.458;30.458;31.248,97.349;30.307;31.094
20,15,7,A_single,118.50694444444444,98.078125,17.238499853501317,0.0,0,98.181,98.078
20,15,7,E_single,118.50694444444444,60.041666666666664,49.33489598593613,38.781795974722534,1,98.181;60.198,98.078;60.042
20,15,7,A_iter,118.50694444444444,30.02777777777778,74.66158804570759,69.3838174641106,5,98.181;64.319;58.564;30.318;30.207;30.172,98.078;64.208;58.408;30.174;30.062;30.028
20,15,7,E_iter,118.50694444444444,60.05902777777778,49.32024611778494,38.76409466659586,2,98.181;60.226;63.528,98.078;60.059;63.309
20,15,8,A_single,119.03993055555556,120.57291666666667,-1.287791503201251,0.0,0,120.646,120.573
20,15,8,E_single,119.03993055555556,30.48263888888889,74.39292954336635,74.71850251979842,1,120.646;30.637,120.573;30.483
20,15,8,A_iter,119.03993055555556,29.852430555555557,74.9223387343766,75.24118070554356,5,120.646;60.981;57.689;30.144;30.137;29.984,120.573;60.872;57.557;30.010;30.007;29.852
20,15,8,E_iter,119.03993055555556,31.036458333333332,73.92769116338765,74.25917926565874,2,120.646;31.196;56.457,120.573;31.036;56.314
20,15,9,A_single,127.86979166666667,108.01215277777777,15.529577885490076,0.0,0,108.049,108.012
20,15,9,E_single,127.86979166666667,33.28125,73.97254694309804,69.18749497709555,1,108.049;33.448,108.012;33.281
20,15,9,A_iter,127.86979166666667,30.631944444444443,76.04442453124788,71.64027967531945,3,108.049;65.649;30.766;30.835,108.012;65.543;30.632;30.689
20,15,9,E_iter,127.86979166666667,14.461805555555555,88.69020949587933,86.61094591336494,5,108.049;32.486;30.648;30.172;14.748;14.818,108.012;32.321;30.507;30.035;14.462;14.514
