L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
20,15,0,A_single,167.10243055555554,163.42013888888889,2.2036134689509663,0.0,0,163.444,163.420
20,15,0,E_single,167.10243055555554,107.66840277777777,35.56742267612804,34.11558482949113,1,163.444;107.726,163.420;107.668
20,15,0,A_iter,167.10243055555554,30.192708333333332,81.93161629489563,81.5244874110273,7,163.444;118.625;96.024;77.646;57.050;56.467;30.332;30.345,163.420;118.573;95.911;77.512;56.892;56.321;30.193;30.203
20,15,0,E_iter,167.10243055555554,30.08159722222222,81.9981091105547,81.59247848719855,6,163.444;94.417;58.342;31.526;31.068;30.220;31.026,163.420;94.243;58.179;31.389;30.911;30.082;30.868
20,15,1,A_single,167.11805555555554,163.43923611111111,2.2013297319758895,0.0,0,163.458,163.439
20,15,1,E_single,167.11805555555554,108.07638888888889,35.329316434656135,33.87365759870832,1,163.458;108.113,163.439;108.076
20,15,1,A_iter,167.11805555555554,57.107638888888886,65.82796592561812,65.0587947865436,6,163.458;108.175;107.991;78.623;57.276;57.269;57.262,163.439;108.134;107.946;78.462;57.113;57.118;57.108
20,15,1,E_iter,167.11805555555554,30.25347222222222,81.89694577186786,81.48946792577092,6,163.458;108.085;57.953;57.852;31.158;30.408;31.130,163.439;108.043;57.812;57.705;31.000;30.253;30.974
20,15,2,A_single,167.12152777777777,170.41319444444446,-1.969624566287851,0.0,0,170.340,170.413
20,15,2,E_single,167.12152777777777,108.45138888888889,35.10627246473167,36.35974653110292,1,170.340;108.500,170.413;108.451
20,15,2,A_iter,167.12152777777777,56.94965277777778,65.9232095738713,66.58142993948533,4,170.340;118.997;97.083;57.104;57.672,170.413;118.965;96.995;56.950;57.519
20,15,2,E_iter,167.12152777777777,29.93402777777778,82.08846689243938,82.43444242955236,7,170.340;107.670;57.799;56.682;31.444;30.333;30.193;30.061,170.413;107.637;57.639;56.535;31.286;30.196;30.056;29.934
8,30,0,A_single,166.58506944444446,157.61284722222223,5.385970214584227,0.0,0,157.363,157.613
8,30,0,E_single,166.58506944444446,127.43923611111111,23.499004721061358,19.144131739824864,1,157.363;127.193,157.613;127.439
8,30,0,A_iter,166.58506944444446,30.32465277777778,81.79629610330058,80.76003745112078,9,157.363;128.102;111.068;109.280;58.609;57.649;57.045;30.747;30.670;30.656,157.613;128.349;111.314;109.523;58.248;57.299;56.689;30.396;30.339;30.325
8,30,0,E_iter,166.58506944444446,32.07465277777778,80.74578178900087,79.64972187035303,4,157.363;128.939;93.845;32.470;33.344,157.613;129.182;93.707;32.075;32.977
8,30,1,A_single,166.59201388888889,160.86284722222223,3.4390404035140683,0.0,0,160.609,160.863
8,30,1,E_single,166.59201388888889,148.92534722222223,10.604750044290666,7.420918009432638,1,160.609;148.679,160.863;148.925
8,30,1,A_iter,166.59201388888889,56.541666666666664,66.05979761768293,64.85100963769602,8,160.609;134.602;114.457;108.783;78.059;78.005;57.269;56.913;56.878,160.863;134.849;114.703;109.030;77.936;77.887;56.894;56.582;56.542
8,30,1,E_iter,166.59201388888889,1.421875,99.14649269985514,99.11609484442621,9,160.609;148.686;111.727;81.436;79.809;57.698;33.351;30.705;1.483;1.490,160.863;148.931;111.974;81.214;79.630;57.309;32.859;30.373;1.422;1.484
8,30,2,A_single,163.75173611111111,150.12673611111111,8.320522471135803,0.0,0,149.877,150.127
8,30,2,E_single,163.75173611111111,141.42534722222223,13.634291409124158,5.796028818243842,1,149.877;141.184,150.127;141.425
8,30,2,A_iter,163.75173611111111,30.296875,81.49828776200422,79.81913429625432,10,149.877;133.964;116.168;92.852;57.913;57.351;33.847;32.747;30.941;30.733;30.649,150.127;134.212;116.411;92.818;57.641;56.993;33.498;32.394;30.589;30.380;30.297
8,30,2,E_iter,163.75173611111111,34.01215277777778,79.22943989143457,77.34437338822524,6,149.877;133.273;100.130;48.144;34.929;34.366;36.059,150.127;133.514;99.991;47.748;34.729;34.012;35.861
