L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
20,15,0,A_single,167.10243055555554,163.42013888888889,2.2036134689509663,0.0,0,163.444,163.420
20,15,0,E_single,167.10243055555554,107.66840277777777,35.56742267612804,34.11558482949113,1,163.444;107.726,163.420;107.668
20,15,0,A_iter,167.10243055555554,77.51215277777777,53.613988426094274,52.568787846595136,3,163.444;118.625;96.024;77.646,163.420;118.573;95.911;77.512
20,15,0,E_iter,167.10243055555554,57.244791666666664,65.74269358240434,64.97078508445767,3,163.444;107.736;59.097;57.380,163.420;107.681;58.932;57.245
20,15,1,A_single,167.11805555555554,163.43923611111111,2.2013297319758895,0.0,0,163.458,163.439
20,15,1,E_single,167.11805555555554,108.07638888888889,35.329316434656135,33.87365759870832,1,163.458;108.113,163.439;108.076
20,15,1,A_iter,167.11805555555554,78.46180555555556,53.05007271971742,51.99328666574606,3,163.458;108.175;107.991;78.623,163.439;108.134;107.946;78.462
20,15,1,E_iter,167.11805555555554,56.842013888888886,65.98691045086224,65.22131696072913,3,163.458;108.078;56.981;59.318,163.439;108.043;56.842;59.137
20,15,2,A_single,167.12152777777777,170.41319444444446,-1.969624566287851,0.0,0,170.340,170.413
20,15,2,E_single,167.12152777777777,108.45138888888889,35.10627246473167,36.35974653110292,1,170.340;108.500,170.413;108.451
20,15,2,A_iter,167.12152777777777,56.94965277777778,65.9232095738713,66.58142993948533,3,170.340;118.997;97.083;57.104,170.413;118.965;96.995;56.950
20,15,2,E_iter,167.12152777777777,30.63888888888889,81.66670129438408,82.02082357016239,3,170.340;108.472;57.194;30.780,170.413;108.424;57.036;30.639
8,30,0,A_single,166.58506944444446,157.61284722222223,5.385970214584227,0.0,0,157.363,157.613
8,30,0,E_single,166.58506944444446,127.43923611111111,23.499004721061358,19.144131739824864,1,157.363;127.193,157.613;127.439
8,30,0,A_iter,166.58506944444446,109.52256944444444,34.254270319844096,30.511648400066093,3,157.363;128.102;111.068;109.280,157.613;128.349;111.314;109.523
8,30,0,E_iter,166.58506944444446,58.657986111111114,64.78796910987671,62.783499476785806,3,157.363;127.512;59.054;72.533,157.613;127.760;58.658;72.224
8,30,1,A_single,166.59201388888889,160.86284722222223,3.4390404035140683,0.0,0,160.609,160.863
8,30,1,E_single,166.59201388888889,148.92534722222223,10.604750044290666,7.420918009432638,1,160.609;148.679,160.863;148.925
8,30,1,A_iter,166.59201388888889,109.02951388888889,34.55297685421595,32.2220663306604,3,160.609;134.602;114.457;108.783,160.863;134.849;114.703;109.030
8,30,1,E_iter,166.59201388888889,80.01909722222223,51.967026897464486,50.25632170262365,3,160.609;148.679;111.733;80.241,160.863;148.925;111.974;80.019
8,30,2,A_single,163.75173611111111,150.12673611111111,8.320522471135803,0.0,0,149.877,150.127
8,30,2,E_single,163.75173611111111,141.42534722222223,13.634291409124158,5.796028818243842,1,149.877;141.184,150.127;141.425
8,30,2,A_iter,163.75173611111111,92.81770833333333,43.31803097931532,38.17376522151423,3,149.877;133.964;116.168;92.852,150.127;134.212;116.411;92.818
8,30,2,E_iter,163.75173611111111,48.557291666666664,70.34700649908292,67.65580007632441,3,149.877;141.193;79.165;48.797,150.127;141.438;78.766;48.557
72,15,0,A_single,14.23263888888889,44.76215277777778,-214.50353744815808,0.0,0,44.889,44.762
72,15,0,E_single,14.23263888888889,14.15625,0.53671627226153,68.37451033626807,1,44.889;14.453,44.762;14.156
72,15,0,A_iter,14.23263888888889,14.114583333333334,0.8294706025859953,68.4675949268898,3,44.889;14.495;14.424;14.410,44.762;14.189;14.128;14.115
72,15,0,E_iter,14.23263888888889,14.09201388888889,0.9880458648450842,68.51801574680991,3,44.889;14.451;14.418;14.389,44.762;14.160;14.120;14.092
72,15,1,A_single,14.362847222222221,19.20659722222222,-33.72416293968331,0.0,0,19.493,19.207
72,15,1,E_single,14.362847222222221,14.630208333333334,-1.8614770941617405,23.827171653258603,1,19.493;14.924,19.207;14.630
72,15,1,A_iter,14.362847222222221,14.109375,1.764776985374103,26.538913495435228,3,19.493;14.931;14.403;14.417,19.207;14.637;14.109;14.122
72,15,1,E_iter,14.362847222222221,14.104166666666666,1.8010395261694658,26.566030913857002,3,19.493;14.938;14.399;14.403,19.207;14.641;14.104;14.115
72,15,2,A_single,14.23611111111111,46.234375,-224.7682926829268,0.0,0,46.361,46.234
72,15,2,E_single,14.23611111111111,14.12326388888889,0.7926829268292628,69.45289324471482,1,46.361;14.418,46.234;14.123
72,15,2,A_iter,14.23611111111111,14.105902777777779,0.9146341463414552,69.49044346813864,3,46.361;14.476;14.398;14.418,46.234;14.181;14.106;14.120
72,15,2,E_iter,14.23611111111111,14.119791666666666,0.8170731707317087,69.46040328939958,2,46.361;14.422;14.425,46.234;14.120;14.134
