L,H,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
8,5,0,63.256510416666664,3.7174479166666665,22.481119791666668,40.775390625,64.46038574751447
8,5,1,68.06315104166667,3.7864583333333335,25.724609375,42.33854166666667,62.20479219474867
8,5,2,59.272135416666664,3.9453125,23.817708333333332,35.45442708333333,59.816348498495195
8,15,0,164.71028645833334,3.78125,160.52278645833334,4.1875,2.542342734046127
8,15,1,179.333984375,3.85546875,167.697265625,11.63671875,6.488853069626112
8,15,2,177.59440104166666,4.016927083333333,162.578125,15.016276041666657,8.455376945213258
8,30,0,207.453125,3.822265625,185.08203125,22.37109375,10.783686073661219
8,30,1,200.00325520833334,4.046875,189.447265625,10.555989583333343,5.2779088882016945
8,30,2,198.470703125,4.182291666666667,180.56966145833334,17.901041666666657,9.019488208993899
8,45,0,197.25846354166666,3.634765625,178.89127604166666,18.3671875,9.311229120529129
8,45,1,202.0078125,4.001953125,121.88606770833333,80.12174479166667,39.66269611065991
8,45,2,197.576171875,3.900390625,180.130859375,17.4453125,8.829664192014551
8,60,0,210.91145833333334,3.6061197916666665,188.37044270833334,22.541015625,10.687430546981108
8,60,1,204.142578125,3.83984375,122.4375,81.705078125,40.023535940146
8,60,2,207.90234375,4.27734375,185.42903645833334,22.473307291666657,10.80954975605784
15,5,0,55.263671875,5.981119791666667,30.748697916666668,24.514973958333332,44.36001649290216
15,5,1,58.040364583333336,6.624348958333333,28.850260416666668,29.190104166666668,50.29276500280426
15,5,2,66.34049479166667,6.268880208333333,28.735677083333332,37.60481770833334,56.68456020176843
15,15,0,179.49283854166666,5.96484375,166.86848958333334,12.624348958333314,7.0333440937827465
15,15,1,175.08333333333334,6.955078125,165.841796875,9.241536458333343,5.278364469300338
15,15,2,171.013671875,7.313151041666667,158.57356770833334,12.440104166666657,7.274333116336789
15,30,0,196.30078125,6.044270833333333,169.74609375,26.5546875,13.52755059399439
15,30,1,182.52213541666666,6.666015625,181.62890625,0.8932291666666572,0.489381282236025
15,30,2,182.48111979166666,6.963541666666667,171.96484375,10.516276041666657,5.762939231013477
15,45,0,176.541015625,6.338541666666667,164.31119791666666,12.229817708333343,6.927465362673193
15,45,1,178.27799479166666,6.950520833333333,176.88802083333334,1.3899739583333144,0.7796665875435832
15,45,2,174.470703125,6.486328125,158.25651041666666,16.214192708333343,9.29336124513503
15,60,0,188.20572916666666,6.36328125,181.81315104166666,6.392578125,3.396590610341631
15,60,1,187.75651041666666,7.111979166666667,185.86783854166666,1.888671875,1.005915518353364
15,60,2,204.17447916666666,6.78125,182.869140625,21.305338541666657,10.434868563702915
25,5,0,73.322265625,5.664713541666667,36.319661458333336,37.002604166666664,50.46571304262895
25,5,1,53.9609375,7.222005208333333,33.741536458333336,20.219401041666664,37.47044061580039
25,5,2,43.634114583333336,8.248046875,33.034505208333336,10.599609375,24.292023514666823
25,15,0,173.35546875,5.611328125,159.091796875,14.263671875,8.227990716329796
25,15,1,172.22330729166666,7.6171875,158.54817708333334,13.675130208333314,7.940348158088711
25,15,2,168.681640625,8.130208333333334,161.51953125,7.162109375,4.245932958953279
25,30,0,179.212890625,5.860677083333333,176.87239583333334,2.340494791666657,1.3059857376912154
25,30,1,181.830078125,6.535807291666667,180.98763020833334,0.8424479166666572,0.4633160395429804
25,30,2,171.06119791666666,7.401041666666667,179.333984375,-8.272786458333343,-4.836156041864896
25,45,0,180.67903645833334,5.733723958333333,172.9140625,7.764973958333343,4.297661815417106
25,45,1,190.48763020833334,6.973307291666667,166.86979166666666,23.617838541666686,12.398620590657895
25,45,2,174.71875,8.408203125,172.46809895833334,2.250651041666657,1.288156561139922
25,60,0,200.34765625,5.87890625,187.01692708333334,13.330729166666657,6.653798410315398
25,60,1,192.96744791666666,6.747395833333333,188.48372395833334,4.483723958333314,2.323564936335593
25,60,2,190.52473958333334,9.613932291666666,189.87630208333334,0.6484375,0.340342939934255
40,5,0,77.787109375,6.647786458333333,33.287109375,44.5,57.20742210058503
40,5,1,86.29231770833333,6.931640625,37.401041666666664,48.891276041666664,56.65773888113471
40,5,2,58.094401041666664,6.130859375,53.959635416666664,4.134765625,7.117322066948327
40,15,0,167.67122395833334,6.709635416666667,145.412109375,22.259114583333343,13.275453031144318
40,15,1,170.68489583333334,6.298177083333333,154.72916666666666,15.955729166666686,9.348061577895438
40,15,2,168.54947916666666,6.3125,139.01171875,29.537760416666657,17.524682106824464
40,30,0,179.89778645833334,6.15625,169.3203125,10.577473958333343,5.879713234149895
40,30,1,188.02734375,6.124348958333333,170.35026041666666,17.677083333333343,9.401336518818605
40,30,2,171.37044270833334,6.420572916666667,168.02213541666666,3.3483072916666856,1.953841770348572
40,45,0,186.03190104166666,6.488932291666667,180.87890625,5.152994791666657,2.7699522301352553
40,45,1,187.31901041666666,6.221354166666667,188.380859375,-1.0618489583333428,-0.5668666282036183
40,45,2,187.828125,6.352864583333333,187.62825520833334,0.1998697916666572,0.10641100296702487
40,60,0,188.376953125,6.916440217391305,179.53059895833334,8.846354166666657,4.696091544063006
40,60,1,196.77408854166666,6.689538043478261,176.248046875,20.526041666666657,10.431272643054472
40,60,2,195.44921875,6.415760869565218,175.19010416666666,20.259114583333343,10.365410879051336
60,5,0,153.740234375,7.78515625,65.95377604166667,87.78645833333333,57.100510279701034
60,5,1,147.32877604166666,9.223958333333334,96.96028645833333,50.36848958333333,34.18781512790713
60,5,2,106.21028645833333,8.7578125,88.01236979166667,18.197916666666657,17.133855178712622
60,15,0,171.75130208333334,7.744140625,166.04166666666666,5.709635416666686,3.3243622303930973
60,15,1,177.23763020833334,9.141927083333334,163.63216145833334,13.60546875,7.676399607694766
60,15,2,179.35481770833334,8.171223958333334,162.60286458333334,16.751953125,9.3401188432206
60,30,0,189.208984375,7.98828125,177.36263020833334,11.846354166666657,6.260989247311823
60,30,1,179.52213541666666,9.045572916666666,184.12825520833334,-4.606119791666686,-2.5657670464848192
60,30,2,189.00260416666666,9.561197916666666,176.74934895833334,12.253255208333314,6.4831144853052525
60,45,0,185.998046875,8.792317708333334,172.23763020833334,13.760416666666657,7.398151162261583
60,45,1,194.72721354166666,9.171223958333334,178.181640625,16.545572916666657,8.496795396872624
60,45,2,183.66341145833334,9.190755208333334,173.01106770833334,10.65234375,5.7999269780615155
60,60,0,178.14713541666666,8.557065217391305,180.59049479166666,-2.443359375,-1.371540086392773
60,60,1,177.80729166666666,9.030570652173912,178.7265625,-0.9192708333333428,-0.5170040130056587
60,60,2,190.90364583333334,8.804347826086957,176.92057291666666,13.983072916666686,7.324675678993831
