L,seed,baseline_mse,student_mse,abs_improvement,fgl_delta
5,0,9.047916666666667,5.1265625,3.921354166666667,43.33985724153811
5,1,9.274479166666667,6.523958333333334,2.7505208333333337,29.65687650923794
5,2,6.456770833333334,4.8171875,1.6395833333333334,25.393240300072602
7,0,8.1984375,5.184375,3.0140625000000005,36.76386506575186
7,1,8.1109375,5.241145833333333,2.869791666666667,35.38175046554935
7,2,8.3546875,4.925520833333334,3.429166666666667,41.04482264197993
9,0,4.34375,0.8901041666666667,3.4536458333333333,79.50839328537171
9,1,8.069270833333333,1.0307291666666667,7.038541666666665,87.22648938230168
9,2,5.2921875,1.6557291666666667,3.636458333333333,68.71370928058262
10,0,0.7473958333333334,0.8005208333333333,-0.05312499999999998,-7.108013937282226
10,1,0.6328125,0.8760416666666667,-0.24322916666666672,-38.436213991769556
10,2,0.6947916666666667,0.7057291666666666,-0.010937499999999933,-1.5742128935532138
11,0,0.5848958333333333,0.7984375,-0.21354166666666674,-36.50934995547642
11,1,0.4708333333333333,0.721875,-0.2510416666666667,-53.31858407079647
11,2,0.55625,0.7,-0.14374999999999993,-25.842696629213467
12,0,0.5,0.6833333333333333,-0.18333333333333335,-36.66666666666667
12,1,0.4453125,0.709375,-0.2640625,-59.29824561403508
12,2,0.5385416666666667,0.61875,-0.08020833333333333,-14.893617021276592
