L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
4,7,0,A_single,11.942708333333334,5.686979166666666,52.3811600523332,0.0,0,5.826,5.687
4,7,0,E_single,11.942708333333334,2.4125,79.79938944614044,57.57853283267698,1,5.826;2.420,5.687;2.413
4,7,0,A_iter,11.942708333333334,0.7510416666666667,93.71129524640209,86.79366242329884,5,5.826;4.180;1.584;0.870;0.803;0.776,5.687;4.017;1.526;0.847;0.781;0.751
4,7,0,E_iter,11.942708333333334,0.9213541666666667,92.28521587440035,83.79888268156425,4,5.826;3.948;2.697;0.962;0.994,5.687;3.912;2.590;0.921;0.947
4,7,1,A_single,12.333333333333334,6.103125,50.5152027027027,0.0,0,6.193,6.103
4,7,1,E_single,12.333333333333334,4.742708333333334,61.545608108108105,22.29049325823519,1,6.193;4.798,6.103;4.743
4,7,1,A_iter,12.333333333333334,0.7421875,93.98226351351352,87.83922171018945,5,6.193;3.829;1.034;0.870;0.810;0.764,6.103;3.669;1.027;0.850;0.791;0.742
4,7,1,E_iter,12.333333333333334,0.5666666666666667,95.4054054054054,90.71513910223588,5,6.193;5.004;3.367;0.720;0.627;0.565,6.103;4.954;3.252;0.704;0.634;0.567
4,7,2,A_single,11.663020833333333,8.159895833333334,30.036172018041345,0.0,0,8.338,8.160
4,7,2,E_single,11.663020833333333,5.194791666666666,55.45929531550038,36.33752473351631,1,8.338;5.326,8.160;5.195
4,7,2,A_iter,11.663020833333333,0.5973958333333333,94.87786361809493,92.67887917278355,5,8.338;5.791;3.243;1.584;0.895;0.595,8.160;5.517;3.145;1.558;0.861;0.597
4,7,2,E_iter,11.663020833333333,5.063020833333334,56.58911266913768,37.952383991829954,2,8.338;5.156;7.528,8.160;5.063;7.459
4,10,0,A_single,11.43125,4.331770833333334,62.105886641151805,0.0,0,4.438,4.332
4,10,0,E_single,11.43125,1.4015625,87.73920174958994,67.64458338343154,1,4.438;1.426,4.332;1.402
4,10,0,A_iter,11.43125,0.5984375,94.76489885183162,86.18492244799808,5,4.438;2.603;1.318;1.024;0.679;0.607,4.332;2.613;1.322;1.024;0.682;0.598
4,10,0,E_iter,11.43125,0.5229166666666667,95.42555130308,87.92833954550919,5,4.438;1.569;1.188;0.689;0.616;0.541,4.332;1.556;1.179;0.674;0.608;0.523
4,10,1,A_single,22.095833333333335,2.8609375,87.05214029794458,0.0,0,2.888,2.861
4,10,1,E_single,22.095833333333335,1.3135416666666666,94.05525174429569,54.0870198434371,1,2.888;1.357,2.861;1.314
4,10,1,A_iter,22.095833333333335,0.5208333333333334,97.64284367339242,81.7950118332423,5,2.888;1.334;0.878;0.746;0.582;0.544,2.861;1.340;0.856;0.735;0.565;0.521
4,10,1,E_iter,22.095833333333335,0.5208333333333334,97.64284367339242,81.7950118332423,5,2.888;1.126;0.921;0.730;0.647;0.540,2.861;1.090;0.897;0.720;0.641;0.521
4,10,2,A_single,14.081770833333334,3.8208333333333333,72.86681214631801,0.0,0,3.825,3.821
4,10,2,E_single,14.081770833333334,1.1036458333333334,92.16259200355069,71.11504907306433,1,3.825;1.137,3.821;1.104
4,10,2,A_iter,14.081770833333334,0.9947916666666666,92.93560676110516,73.96401308615049,4,3.825;1.509;1.214;1.010;1.075,3.821;1.507;1.207;0.995;1.053
4,10,2,E_iter,14.081770833333334,1.0776041666666667,92.34752376373117,71.79661941112323,2,3.825;1.108;1.130,3.821;1.078;1.112
13,7,0,A_single,0.3177083333333333,0.34427083333333336,-8.360655737704931,0.0,0,0.334,0.344
13,7,0,E_single,0.3177083333333333,0.3177083333333333,0.0,7.715582450832086,1,0.334;0.304,0.344;0.318
13,7,0,A_iter,0.3177083333333333,0.278125,12.459016393442614,19.21331316187595,3,0.334;0.289;0.263;0.270,0.344;0.299;0.278;0.283
13,7,0,E_iter,0.3177083333333333,0.2484375,21.803278688524582,27.836611195158856,5,0.334;0.298;0.285;0.275;0.273;0.236,0.344;0.311;0.289;0.282;0.273;0.248
13,7,1,A_single,0.29583333333333334,0.38958333333333334,-31.690140845070424,0.0,0,0.382,0.390
13,7,1,E_single,0.29583333333333334,0.32760416666666664,-10.7394366197183,15.909090909090917,1,0.382;0.310,0.390;0.328
13,7,1,A_iter,0.29583333333333334,0.30416666666666664,-2.8169014084506943,21.92513368983958,3,0.382;0.321;0.291;0.301,0.390;0.345;0.304;0.317
13,7,1,E_iter,0.29583333333333334,0.3046875,-2.992957746478872,21.79144385026738,2,0.382;0.286;0.331,0.390;0.305;0.353
13,7,2,A_single,0.30052083333333335,0.4125,-37.26169844020796,0.0,0,0.393,0.412
13,7,2,E_single,0.30052083333333335,0.3109375,-3.4662045060658455,24.62121212121212,1,0.393;0.291,0.412;0.311
13,7,2,A_iter,0.30052083333333335,0.2630208333333333,12.478336221837099,36.23737373737374,5,0.393;0.347;0.298;0.296;0.258;0.254,0.412;0.371;0.318;0.317;0.269;0.263
13,7,2,E_iter,0.30052083333333335,0.290625,3.292894280762562,29.545454545454536,3,0.393;0.307;0.279;0.289,0.412;0.324;0.291;0.302
