L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
4,7,0,A_single,12.166145833333333,5.588541666666667,54.06481441842544,0.0,0,5.795,5.589
4,7,0,E_single,12.166145833333333,2.3020833333333335,81.07795710432809,58.807082945013974,1,5.795;2.373,5.589;2.302
4,7,0,A_iter,12.166145833333333,0.7473958333333334,93.85675756667665,86.62628145386768,5,5.795;4.255;1.559;0.930;0.771;0.771,5.589;4.095;1.499;0.926;0.747;0.742
4,7,0,E_iter,12.166145833333333,0.7635416666666667,93.72404640609615,86.33737185461324,5,5.795;2.185;1.168;0.844;0.797;0.814,5.589;2.098;1.130;0.810;0.764;0.787
4,7,1,A_single,12.334375,6.1171875,50.40537116797567,0.0,0,6.202,6.117
4,7,1,E_single,12.334375,2.1203125,82.80972890803142,65.33844189016604,1,6.202;2.186,6.117;2.120
4,7,1,A_iter,12.334375,0.690625,94.40081074233595,88.71008939974458,5,6.202;3.865;1.018;0.869;0.831;0.694,6.117;3.709;1.011;0.851;0.818;0.691
4,7,1,E_iter,12.334375,0.5859375,95.24955662528502,90.42145593869732,5,6.202;2.070;1.077;0.851;0.640;0.584,6.117;1.998;1.066;0.835;0.637;0.586
4,7,2,A_single,12.3921875,8.183854166666666,33.95956794015047,0.0,0,8.360,8.184
4,7,2,E_single,12.3921875,2.5984375,79.0316479636868,68.24922039075923,1,8.360;2.603,8.184;2.598
4,7,2,A_iter,12.3921875,0.6390625,94.8430210566133,92.19117927830459,5,8.360;5.775;3.207;1.518;0.888;0.624,8.184;5.487;3.115;1.503;0.855;0.639
4,7,2,E_iter,12.3921875,0.7526041666666666,93.92678518892112,90.80379303761217,4,8.360;2.581;1.631;0.750;1.044,8.184;2.560;1.634;0.753;1.019
4,10,0,A_single,11.564583333333333,4.252083333333333,63.23185011709602,0.0,0,4.354,4.252
4,10,0,E_single,11.564583333333333,2.8265625,75.55845793550712,33.52523272905438,1,4.354;2.846,4.252;2.827
4,10,0,A_iter,11.564583333333333,0.6265625,94.58205728697531,85.26457618814307,5,4.354;2.528;1.291;1.079;0.717;0.640,4.252;2.543;1.299;1.068;0.709;0.627
4,10,0,E_iter,11.564583333333333,0.6578125,94.31183570527833,84.52964233219011,5,4.354;1.612;1.206;0.920;0.760;0.672,4.252;1.639;1.220;0.923;0.765;0.658
4,10,1,A_single,20.672395833333333,2.5421875,87.70250182661057,0.0,0,2.563,2.542
4,10,1,E_single,20.672395833333333,1.1963541666666666,94.21279383235495,52.939971317353,1,2.563;1.212,2.542;1.196
4,10,1,A_iter,20.672395833333333,0.5421875,97.3772391726084,78.67240319606637,5,2.563;1.218;0.916;0.718;0.589;0.570,2.542;1.217;0.903;0.697;0.573;0.542
4,10,1,E_iter,20.672395833333333,0.5359375,97.40747272681465,78.91825445605409,5,2.563;1.807;0.916;0.861;0.619;0.549,2.542;1.790;0.906;0.842;0.601;0.536
4,10,2,A_single,10.9640625,4.052083333333333,63.042135765521834,0.0,0,4.071,4.052
4,10,2,E_single,10.9640625,1.3833333333333333,87.38302218421929,65.8611825192802,1,4.071;1.390,4.052;1.383
4,10,2,A_iter,10.9640625,0.9604166666666667,91.24032112488717,76.29820051413881,4,4.071;1.515;1.179;0.977;1.055,4.052;1.512;1.186;0.960;1.033
4,10,2,E_iter,10.9640625,0.7583333333333333,93.08346396845756,81.28534704370179,4,4.071;1.486;1.035;0.761;0.802,4.052;1.492;1.038;0.758;0.787
13,7,0,A_single,0.3151041666666667,0.3578125,-13.55371900826445,0.0,0,0.347,0.358
13,7,0,E_single,0.3151041666666667,0.30052083333333335,4.6280991735537205,16.011644832605523,1,0.347;0.284,0.358;0.301
13,7,0,A_iter,0.3151041666666667,0.26666666666666666,15.371900826446286,25.473071324599704,3,0.347;0.292;0.254;0.273,0.358;0.304;0.267;0.286
13,7,0,E_iter,0.3151041666666667,0.2734375,13.223140495867774,23.58078602620087,5,0.347;0.322;0.281;0.266;0.255;0.258,0.358;0.340;0.295;0.279;0.273;0.269
13,7,1,A_single,0.29583333333333334,0.3963541666666667,-33.978873239436616,0.0,0,0.384,0.396
13,7,1,E_single,0.29583333333333334,0.3359375,-13.556338028169012,15.243101182654403,1,0.384;0.330,0.396;0.336
13,7,1,A_iter,0.29583333333333334,0.30572916666666666,-3.345070422535209,22.864651773981606,3,0.384;0.322;0.292;0.292,0.396;0.342;0.306;0.307
13,7,1,E_iter,0.29583333333333334,0.32395833333333335,-9.507042253521131,18.26544021024967,3,0.384;0.336;0.309;0.336,0.396;0.353;0.324;0.349
13,7,2,A_single,0.30520833333333336,0.4265625,-39.76109215017064,0.0,0,0.406,0.427
13,7,2,E_single,0.30520833333333336,0.3828125,-25.426621160409546,10.256410256410259,1,0.406;0.360,0.427;0.383
13,7,2,A_iter,0.30520833333333336,0.3177083333333333,-4.095563139931726,25.518925518925524,3,0.406;0.349;0.300;0.308,0.427;0.375;0.318;0.327
13,7,2,E_iter,0.30520833333333336,0.2989583333333333,2.047781569965881,29.91452991452992,4,0.406;0.396;0.341;0.284;0.295,0.427;0.416;0.358;0.299;0.314
