L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
4,7,0,A_single,12.166145833333333,5.588541666666667,54.06481441842544,0.0,0,5.795,5.589
4,7,0,E_single,12.166145833333333,2.2552083333333335,81.46324757052955,59.64585274930102,1,5.795;2.328,5.589;2.255
4,7,0,A_iter,12.166145833333333,0.7473958333333334,93.85675756667665,86.62628145386768,5,5.795;4.255;1.559;0.930;0.771;0.771,5.589;4.095;1.499;0.926;0.747;0.742
4,7,0,E_iter,12.166145833333333,0.76875,93.68123635429598,86.24417520969246,5,5.795;2.183;1.170;0.823;0.801;0.818,5.589;2.095;1.130;0.783;0.769;0.790
4,7,1,A_single,12.334375,6.1171875,50.40537116797567,0.0,0,6.202,6.117
4,7,1,E_single,12.334375,2.130729166666667,82.72527658136981,65.16815666240954,1,6.202;2.193,6.117;2.131
4,7,1,A_iter,12.334375,0.690625,94.40081074233595,88.71008939974458,5,6.202;3.865;1.018;0.869;0.831;0.694,6.117;3.709;1.011;0.851;0.818;0.691
4,7,1,E_iter,12.334375,0.5786458333333333,95.30867325394816,90.54065559812688,5,6.202;2.103;1.077;0.837;0.649;0.579,6.117;2.031;1.066;0.822;0.647;0.579
4,7,2,A_single,12.3921875,8.183854166666666,33.95956794015047,0.0,0,8.360,8.184
4,7,2,E_single,12.3921875,2.591666666666667,79.08628588240238,68.3319544326354,1,8.360;2.599,8.184;2.592
4,7,2,A_iter,12.3921875,0.6390625,94.8430210566133,92.19117927830459,5,8.360;5.775;3.207;1.518;0.888;0.624,8.184;5.487;3.115;1.503;0.855;0.639
4,7,2,E_iter,12.3921875,0.9270833333333334,92.51880805278863,88.67180042003437,4,8.360;2.574;1.631;0.947;1.046,8.184;2.554;1.634;0.927;1.023
4,10,0,A_single,11.564583333333333,4.252083333333333,63.23185011709602,0.0,0,4.354,4.252
4,10,0,E_single,11.564583333333333,2.81875,75.62601333093136,33.70896619304262,1,4.354;2.838,4.252;2.819
4,10,0,A_iter,11.564583333333333,0.6265625,94.58205728697531,85.26457618814307,5,4.354;2.528;1.291;1.079;0.717;0.640,4.252;2.543;1.299;1.068;0.709;0.627
4,10,0,E_iter,11.564583333333333,0.6640625,94.25779138893893,84.38265556099951,5,4.354;1.622;1.194;0.910;0.806;0.674,4.252;1.654;1.214;0.917;0.808;0.664
4,10,1,A_single,20.672395833333333,2.5421875,87.70250182661057,0.0,0,2.563,2.542
4,10,1,E_single,20.672395833333333,1.1880208333333333,94.25310523796327,53.26777299733661,1,2.563;1.205,2.542;1.188
4,10,1,A_iter,20.672395833333333,0.5421875,97.3772391726084,78.67240319606637,5,2.563;1.218;0.916;0.718;0.589;0.570,2.542;1.217;0.903;0.697;0.573;0.542
4,10,1,E_iter,20.672395833333333,0.5328125,97.42258950391776,79.04118008604794,5,2.563;1.808;0.939;0.856;0.617;0.540,2.542;1.791;0.923;0.836;0.601;0.533
4,10,2,A_single,10.9640625,4.052083333333333,63.042135765521834,0.0,0,4.071,4.052
4,10,2,E_single,10.9640625,1.3802083333333333,87.41152439314047,65.93830334190231,1,4.071;1.386,4.052;1.380
4,10,2,A_iter,10.9640625,0.9604166666666667,91.24032112488717,76.29820051413881,4,4.071;1.515;1.179;0.977;1.055,4.052;1.512;1.186;0.960;1.033
4,10,2,E_iter,10.9640625,0.6026041666666667,94.50382404636358,85.12853470437018,5,4.071;1.532;1.027;0.794;0.793;0.621,4.052;1.531;1.027;0.791;0.777;0.603
13,7,0,A_single,0.3151041666666667,0.3578125,-13.55371900826445,0.0,0,0.347,0.358
13,7,0,E_single,0.3151041666666667,0.29791666666666666,5.454545454545461,16.739446870451232,1,0.347;0.282,0.358;0.298
13,7,0,A_iter,0.3151041666666667,0.26666666666666666,15.371900826446286,25.473071324599704,3,0.347;0.292;0.254;0.273,0.358;0.304;0.267;0.286
13,7,0,E_iter,0.3151041666666667,0.2734375,13.223140495867774,23.58078602620087,5,0.347;0.322;0.279;0.265;0.255;0.256,0.358;0.340;0.292;0.277;0.273;0.267
13,7,1,A_single,0.29583333333333334,0.3963541666666667,-33.978873239436616,0.0,0,0.384,0.396
13,7,1,E_single,0.29583333333333334,0.3359375,-13.556338028169012,15.243101182654403,1,0.384;0.330,0.396;0.336
13,7,1,A_iter,0.29583333333333334,0.30572916666666666,-3.345070422535209,22.864651773981606,3,0.384;0.322;0.292;0.292,0.396;0.342;0.306;0.307
13,7,1,E_iter,0.29583333333333334,0.3015625,-1.9366197183098617,23.915900131406044,4,0.384;0.333;0.309;0.289;0.338,0.396;0.348;0.324;0.302;0.351
13,7,2,A_single,0.30520833333333336,0.4265625,-39.76109215017064,0.0,0,0.406,0.427
13,7,2,E_single,0.30520833333333336,0.38385416666666666,-25.76791808873719,10.012210012210016,1,0.406;0.362,0.427;0.384
13,7,2,A_iter,0.30520833333333336,0.3177083333333333,-4.095563139931726,25.518925518925524,3,0.406;0.349;0.300;0.308,0.427;0.375;0.318;0.327
13,7,2,E_iter,0.30520833333333336,0.30052083333333335,1.5358361774744063,29.54822954822955,4,0.406;0.395;0.332;0.285;0.297,0.427;0.416;0.353;0.301;0.314
